MACHINE_ID,FAILURE,DAILY_PRODUCTION,MONTHLY_PRODUCTION,PROD_TARGET,REASON,MONTHS_IN_OPERATION,NEGATIVE_RATING,DAYS_OUT_OF_SERVICE,MACHINE_AGE,SENSOR_INQUIRIES,NUM_SENSORS,SENSOR_RATIO,INDUSTRY
772418,1,1100,25860,39025,TruckPr,10.5,0,0,94.36666667,1,9,,Other
477724,1,1300,70053,68400,TruckPr,7,0,2,121.8333333,0,14,,Other
150746,1,1500,13500,16700,TruckPr,4,0,0,149.4666667,1,10,,Other
108584,1,1500,,,,,,,,,,,
321534,0,1700,97800,112000,TruckPr,3,0,0,93.33333333,0,14,,FLEET
874921,1,1700,30548,40320,TruckPr,9,0,0,101.4660019,1,8,37.11361356,Other
511718,1,1800,48649,57037,TruckPr,5,3,2,77.1,1,17,,Other
119768,1,1800,28502,43034,TruckPr,11,0,0,88.76602988,0,8,36.88489409,Other
290726,1,2000,32700,46740,TruckPr,3,0,2,216.9333333,1,12,,Other
245544,1,2000,,62250,TruckPr,16,0,0,115.8,0,13,,FARMING
831964,1,2000,22608,,,18,,,,,,,
90139,1,2000,20627,29800,TruckPr,11,0,1,122.5333333,1,9,,FLEET
124500,1,2000,45000,55000,TruckPr,3,0,0,86.06666667,2,25,,Other
723824,0,2000,64536,87400,,2.5,0,0,147.1333333,0,24,,COMMERCIAL
658722,1,2100,71000,83850,TruckPr,8,0,1,123,0,16,,Other
674352,1,2200,24280,34687,TruckPr,,0,1,300.8666667,0,8,,Other
61463,1,2200,90957,102600,TruckPr,7,2,6,122.9,1,22,,COMMERCIAL
576129,1,2200,23030,,,19,,,,,,3.7113123,
628401,1,2300,28192,40150,TruckPr,4.5,0,0,54.6,1,16,,Other
811231,0,2300,102370,120953,TruckPr,2,0,0,90.99253347,0,13,31.58850318,FLEET
515060,1,2300,37626,46200,TruckPr,3,0,1,122.2666667,1,14,,Other
62211,1,2400,50000,73395,TruckPr,5,1,0,,1,0,,GOVERNMENT
406591,1,2400,28000,40800,TruckPr,12,0,0,67.2,2,22,,COMMERCIAL
472499,1,2400,18000,,TruckPr,22,,2,121.7333333,0,10,,COMMERCIAL
293428,1,2400,,17180,TruckPr,,0,0,14.56666667,3,4,,Other
433633,1,2400,34863,47471,TruckPr,12,0,0,70.49108003,1,21,38.26360073,COMMERCIAL
187207,0,2400,98449,117195,TruckPr,4,0,0,93.81177486,0,13,29.68182705,FLEET
