,MACHINE_ID,DAILY_PRODUCTION,MONTHLY_PRODUCTION,PROD_TARGET,REASON,MONTHS_IN_OPERATION,NEGATIVE_RATING,DAYS_OUT_OF_SERVICE,MACHINE_AGE,SENSOR_INQUIRIES,NUM_SENSORS,SENSOR_RATIO,INDUSTRY,REPAIR_DATE,ACTION
0,574049,12600,58247.0,72189.0,TruckPr,30.0,0.0,3.0,198.243176,0.0,23.0,35.79425984,Other,8/19/2021,Turn Off Machine
1,118667,27200,70730.0,93752.0,CarProd,8.0,0.0,0.0,165.9193329,0.0,20.0,36.17090549,FLEET,1/9/2019,Turn Off Machine
2,775268,27000,13718.0,35684.0,CarProd,16.0,2.0,0.0,122.2944468,1.0,18.0,24.35575958,Other,11/23/2019,Turn Off Machine
3,737574,22300,59809.0,90883.0,CarProd,2.0,0.0,0.0,161.4029057,1.0,22.0,36.17425125,FLEET,6/24/2020,Turn Off Machine
4,690291,13900,62968.0,84947.0,CarProd,13.0,0.0,0.0,239.7732321,3.0,37.0,42.23618914,FLEET,5/4/2021,Turn Off Machine
5,792626,35700,238104.0,43026.0,CarProd,3.0,0.0,1.0,206.6470786,3.0,49.0,41.27663712,COMMERCIAL,1/22/2021,Turn Off Machine
6,760490,16200,23466.0,206368.0,CarProd,9.0,7.0,3.0,141.0274265,10.0,41.0,32.36849777,COMMERCIAL,5/21/2019,Turn Off Machine
7,274336,12200,80336.0,102618.0,TruckPr,2.0,0.0,0.0,79.73026062,2.0,19.0,34.40548234,GOVERNMENT,5/15/2021,Turn Off Machine
8,602473,80300,20370.0,109127.0,TruckPr,27.0,0.0,1.0,142.1743004,0.0,13.0,33.46876324,0,8/3/2021,Turn Off Machine
9,400955,30300,0.0,52545.0,0,1.0,1.0,3.0,187.7221845,10.0,15.0,2.594364447,0,8/5/2021,Turn Off Machine
10,385897,16700,12830.0,56465.0,CarProd,3.0,0.0,0.0,301.1485223,0.0,15.0,18.25148086,GOVERNMENT,1/3/2020,Turn Off Machine
11,708015,23500,146371.0,179434.0,CarProd,6.0,0.0,0.0,195.1781446,4.0,43.0,39.94505447,GOVERNMENT,4/29/2019,Turn Off Machine
